# Typekit class table
# format: <PS family name>,<class index> (with no whitespace)
# TK_BLACKLETTER,0
Bad Script,5
BadDog,1
BadaBoom Pro BB,1
Bahiana,1
Baker Signet BT Web,6
Baker Signet Std,4
Ballers Delight,1
BalloonDroShaD,1
BalloonOutPExtBol,1
BalloonSCDExtBol,2
BalloonURWBol,2
BalloonURWLig,2
Balthazar,6
Baltica Web,6
Baltica Web ExtraBold,6
Baltica Web ExtraCond,6
Balzano Std,2
Banco Std,1
Bangers,4
Bangla MN,4
Bangla Sangam MN,4
Banksia,4
Banshee Std,2
Baoli SC,5
Barge,4
BaroqueTextJF,0
Barrio,1
Basel Neue,4
Basel Neue Black,4
Basel Neue Medium,4
Basic,4
Baskerville,6
Baskerville Cyrillic LT Std,6
Baskerville Old Face,6
Baskerville URW,6
BaskervilleURWExtBol,6
BaskervilleURWMed,6
BaskervilleURWUltBol,6
Batang,6
BattleStation,4
Baucher Gothic URW,4
Baucher Gothic URW Alten,4
Baucher Gothic URW Alten Extd,4
Baucher Gothic URW Extd,4
BaucherGotURWAltBol,4
BaucherGotURWAltExtBol,4
BaucherGotURWAltExtReg,4
BaucherGotURWAltReg,4
BaucherGotURWBol,4
BaucherGotURWExtBol,4
BaucherGotURWExtReg,4
BaucherGotURWReg,4
Bauer Bodoni Std 1,6
Bauer Bodoni Std 2,6
Bauhaus 93,1
Bauhaus Std,1
Baumans,4
Bearpaw,1
Bebas,4
Bebas Kai,4
Bebas Neue,4
BeeFour,4
BeeOne,4
BeeThree,4
BeeTwo,4
Belgrano,6
Bell Centennial Std,4
Bell Gothic Std,4
Bell MT,6
Bell MT Std,6
Belleza,4
Belligerent Madness,2
Bello SmCp,1
Bellota,4
Belwe Std,6
Bembo Std,6
BenchNine,4
Bentham,6
Berkshire Swash,5
Berling LT Std,6
Bermuda LP Std,1
Bernard MT Condensed,4
Bernhard Modern Std,6
Bernhard Std,5
BernhardGotURWExtHea,4
BernhardGotURWExtLig,4
BernhardGotURWHea,4
BernhardGotURWLig,4
BernhardGotURWMed,4
BernhardGotURWUlt,4
Bernina Sans,4
Bernina Sans Offc,4
Bernina Sans Offc Exb,4
Bernina Sans Offc Lt,4
Bernina Sans Offc Nr,4
Bernina Sans Offc Nr Exb,4
Bernina Sans Offc Nr Lt,4
Bernina Sans Offc Nr Sb,4
Bernina Sans Offc Sb,4
Bernino Sans,4
Bernino Sans Offc,4
Bernino Sans Offc Exb,4
Bernino Sans Offc Lt,4
Bernino Sans Offc Nr,4
Bernino Sans Offc Nr Exb,4
Bernino Sans Offc Nr Lt,4
Bernino Sans Offc Nr Sb,4
Bernino Sans Offc Sb,4
Bevan,7
Bickham Script Pro Regular,5
Bickham Script Pro Semibold,5
Biffo MT Std,2
Big Caslon,6
BigSmalls,4
Bigelow Rules,1
Bigfish,1
Bigshot One,6
Bilbo,5
Bilbo Swash Caps,5
Birch Std,6
Biryani,4
Bistro Script,5
Bitstream Vera Sans,4
Bitstream Vera Sans Mono,3
Bitstream Vera Serif,7
Bitter,7
Bkvahtgpwuhyzmqxbggcifxwffz,6
Black Ops One,1
Black Rose,5
BlackBeard,1
BlackJack,5
Blackoak Std,7
Blackout,1
Blakely,4
Blambot Casual,2
Blambot FXPro Heavy BB,2
Blambot FXPro Light BB,2
Blambot Pro Lite,2
Blenny,1
Bligh,4
Blogger Sans,4
Blokletters Balpen,2
Blokletters Potlood,2
Blokletters Viltstift,2
Bloody,1
Blow Up,1
Blue Goblet,2
Blue Goblet Alt 1 Bold Oblique,2
Blue Goblet Alt One Oblique,2
Blue Goblet Alternate One,2
Blue Goblet Alternate One Bold ,2
Blue Goblet Bold,2
Blue Goblet Bold Oblique,2
Blue Goblet Oblique,2
Blue Island Std,1
Bmjhfhkxathcxzykuhoaemlgcrp,6
Bmqegwxvgzlifwvfavsjppouctw,1
Bmulepnyurzucsgiawuhjtyhigb,4
Bodoni 72,6
Bodoni 72 Oldstyle,6
Bodoni 72 Smallcaps,6
Bodoni Ornaments,1
Bodoni Std,7
BodoniURW,6
BodoniURWExtBol,6
BodoniURWLig,6
BodoniURWMed,6
BodoniXT,6
Bodonitown,7
Bonbon,1
BonvenoCF,4
Boogaloo,2
Book Antiqua,6
Bookman Old Style,6
BookmanJF,6
Bookmania,6
Bookshelf Symbol 7,1
Border Pi Std,4
Bossa Nova MVB Std,5
Boston Traffic,1
Botanika Mono,3
Botanika Std,4
Bouffant,2
Bowlby One,4
Bowlby One SC,4
Boycott,1
Bqphrdcaaccdxmeyfqyhnhryuwb,4
Bradley Hand,2
Braggadocio,1
Brandon Grotesque Black,4
Brandon Grotesque Bold,4
Brandon Grotesque Bold Italic,4
Brandon Grotesque Light,4
Brandon Grotesque Medium,4
Brandon Grotesque Regular,4
Brandon Grotesque Regular Italic,4
Brandon Grotesque Thin,4
BrandonGrotesque,4
Brawler,6
Bree,4
Bree EB,4
Bree Lt,4
Bree Serif,7
Bree Th,4
Brevia -Light Italic,4
Brevia Black,4
Brevia Black Italic,4
Brevia Bold,4
Brevia Bold Italic,4
Brevia Light,4
Brevia Medium,4
Brevia Medium Italic,4
Brevia Regular,4
Brevia Regular Italic,4
Brevia Semibold,4
Brevia Semibold Italic,4
Briem Akademi Std,1
Briem Script Std,5
Brioso Pro,6
Brioso Pro Capt,6
Brioso Pro Disp,6
Brioso Pro Light,6
Brioso Pro Light Capt,6
Brioso Pro Light Disp,6
Brioso Pro Light Subh,6
Brioso Pro Medium,6
Brioso Pro Medium Capt,6
Brioso Pro Medium Disp,6
Brioso Pro Medium Subh,6
Brioso Pro Subh,6
Britannic Bold,4
Bruno Ace,1
Bruno Ace SC,4
Bruno JB Std,2
Brush Script MT,5
Brush Script Std,5
Brushstroke Plain,1
Bubblegum Sans,1
Bubbler One,4
Buda,6
BuenaParkJF,1
Buenard,6
Bulmer MT Std,6
Bundesbahn Pi Std,4
Burnaby Stencil,1
Butcherman,1
Butcherman Caps,1
Butterfly Kids,2
Bvcwxrllgtcmytdsaubseqxwwcl,4
CAC Champagne,5
CPMono_v07,3
Cabazon,0
Cabin,4
Cabin Condensed,4
Cabin Sketch,1
CabinSketch,1
Caecilia LT Std,7
Caesar Dressing,1
Caflisch Script Pro,5
Caflisch Script Pro Light,5
Caflisch Script Pro Regular,5
Caflisch Script Web Pro,5
Cagliostro,4
Calcite Pro,5
Caliban Std,2
Calibri,4
Calisto MT,6
Calligraffiti,5
Calligraffitti,5
Calluna,6
Calluna Sans,4
Calvert MT Std,7
Cambay,4
Cambo,6
Cambria,6
Cambria Math,6
CamingoWeb Black,4
CamingoWeb Bold,4
CamingoWeb ExtraBold,4
CamingoWeb ExtraLight,4
CamingoWeb Light,4
CamingoWeb Regular,4
CamingoWeb SemiBold,4
Candal,4
Candara,4
Candela,4
Candida Std,7
Cantarell,4
Cantata One,7
Cantiga,4
Cantiga Black,4
Cantiga ExtraBold,4
Cantiga ExtraLight,4
Cantiga Light,4
Cantiga Medium,4
Cantiga SemiBold,4
Cantiga Thin,4
CantigaCnd,4
CantigaCnd Black,4
CantigaCnd ExtraBold,4
CantigaCnd ExtraLight,4
CantigaCnd Light,4
CantigaCnd Medium,4
CantigaCnd SemiBold,4
CantigaCnd Thin,4
Cantora One,4
CantoraOne,4
Cantoria MT Std,6
Capitolium2,6
CapitoliumNews 2,6
Capriola,4
Capsuula,4
Capture it,1
Capture it 2,1
Caravan LT Std,4
Carbon Bk,1
Carbon Bl,1
Carbon El,1
Carbon Fence,1
Carbon Lt,1
Carbon OT Bold,3
Carbon OT BoldItalic,3
Carbon OT Regular,3
Carbon OT RegularItalic,3
Carbon OT Thin,3
Carbon OT ThinItalic,3
Carbon Phyber,1
Carbon Rg,1
Carbon Ul,1
CarbonType,1
Cardigan Rg,4
Cardigan Sb,4
Cardo,6
Carme,4
Carolina LT Std,5
Carousel,1
Carrington,5
Carrois Gothic,4
Carrois Gothic SC,4
Carta Marina,1
Carta Marina Bold,1
Carta Std,4
Carter One,4
CasablancaURWBol,4
CasablancaURWLig,4
CasablancaURWMed,4
Cascade Script LT Std,5
Caslon 3 LT Std,6
Caslon 540 LT Std,6
Caslon Calligraphic Initials,1
Caslon Initials,1
Caslon Open Face LT Std,1
Castellar MT Std,1
Catnip,2
Catwing,5
Caudex,6
Caviar Dreams,4
Caxton Std,6
Cedarville Cursive,2
Celestia Antiqua Std,1
Centaur MT Std,6
Centennial LT Std,7
Century,6
Century Expanded LT Std,6
Century Gothic,4
Century Old Style Std,6
Century Schoolbook,6
Ceviche One,5
Chainprinter,1
Chalkboard,2
Chalkboard SE,2
Chalkduster,1
Chaloops,1
Chaloops Medium,1
Chandler42,1
Chandler42Regular,1
Changa,4
Changa One,4
Changeling Neo,1
Chango,1
Chantelli Antiqua,5
ChanticleerRoman,6
Chaparral Pro,7
Chaparral Pro Capt,7
Chaparral Pro Disp,7
Chaparral Pro Light Capt,7
Chaparral Pro Light Disp,7
Chaparral Pro Light Subh,7
Chaparral Pro SmBd,7
Chaparral Pro SmBd Capt,7
Chaparral Pro SmBd Disp,7
Chaparral Pro SmBd Subh,7
Chaparral Pro Subh,7
Charbroiled,1
Charis SIL,6
Charlemagne Std,6
Charme Std,5
Charter,6
Chau Philomene One,4
Chauncy Pro,2
Chela One,5
Chelsea Market,1
Chemist,2
Chennai Black,4
Chennai Black Oblique,4
Chennai Bold,4
Chennai Bold Oblique,4
Chennai Light,4
Chennai Light Oblique,4
Chennai Medium,4
Chennai Medium Oblique,4
Chennai Oblique,4
Chennai Regular,4
Chennai Slab Black,7
Chennai Slab Black Oblique,7
Chennai Slab Bold,7
Chennai Slab Bold Oblique,7
Chennai Slab Light,7
Chennai Slab Light Oblique,7
Chennai Slab Medium,7
Chennai Slab Medium Oblique,7
Chennai Slab Oblique,7
Chennai Slab Regular,7
Chennai Slab Thin,7
Chennai Slab Thin Oblique,7
Chennai Thin,4
Chennai Thin Oblique,4
Cheq Std,4
Cherry Cream Soda,1
Cherry Swash,7
Chewy,1
Chicle,1
Chinchilla,2
Chinchilla Black,2
Chinese Rocks Rg,1
Chippewa Falls,1
Chivo,4
Chunder,1
Chunk Type,1
ChunkFive,7
Cicle,4
Cinzel,6
Cinzel Decorative,6
Clairvaux LT Std,0
Clara,5
Clarendon LT Std,7
Clarendon Text Pro,7
Clarendon Wide,7
Clarendon Wide Medium,7
Clarendon Wide Stencil,1
ClarendonURW,7
ClarendonURWExtBol,7
ClarendonURWExtNar,7
ClarendonURWExtNarExtBol,7
ClarendonURWExtNarLig,7
ClarendonURWExtNarMed,7
ClarendonURWExtWid,7
ClarendonURWExtWidExtBol,7
ClarendonURWExtWidLig,7
ClarendonURWExtWidMed,7
ClarendonURWLig,7
ClarendonURWMed,7
Classic Comic,2
ClassicoURW,4
ClassicoURWBla,4
ClassicoURWMed,4
Clavo,6
Clear Sans,4
Clear Sans Light,4
Clear Sans Medium,4
Clear Sans Thin,4
Clearface Gothic LT Std,4
ClickClack,1
ClickClack Light,1
Clicker Script,5
Cloister Std,1
Club Type Std,4
Clutchee,1
Co Headline,4
Co Text,4
Cochin,6
Cochin LT Std,6
Coda,4
Coda Caption,1
Cody,1
Codystar,1
Colaborate-Bold,4
Colaborate-Medium,4
Colaborate-Regular,4
Colaborate-Thin,4
ColaborateLight,4
Collector Comic,2
College,1
College Condensed,1
College Semi-condensed,1
Colonna MT,1
CombiNumerals Ltd,1
Combo,1
Comenia Sans,4
Comfortaa,4
Comic Relief,2
Comic Sans MS,2
Comic Zine OT,1
Coming Soon,2
Commando,1
Comme,4
Communist,6
